YBR177C	YBR041W
YIL140W	YBR160W
YIL140W	YLL034C
YIL140W	YCR038C
YIL140W	YPR119W
YIL140W	YGL054C
YLR268W	YOR327C
YLR268W	YPR181C
YLR268W	YLR093C
YLR268W	YDL192W
YLR268W	YIL076W
YLR268W	YNL287W
YLR268W	YDR189W
YLR268W	YDL145C
YLR268W	YPL232W
YLR268W	YFL048C
YLR268W	YLR026C
YLR268W	YKL196C
YLR268W	YIL109C
YLR268W	YKL006C
YLR268W	YPL218W
YLR268W	YGL137W
YLR268W	YEL036C
YLR268W	YGL098W
YLR268W	YGR009C
YLR268W	YIL004C
YLR268W	YFL038C
YLR268W	YFR051C
YLR268W	YLR078C
YLR268W	YHL031C
YLR268W	YDL195W
YLR268W	YOR075W
YLR268W	YDR498C
YLR268W	YDR238C
YLR268W	YER157W
YLR268W	YBL050W
YOL163W	YBL026W
YJL155C	YER112W
YLR197W	YPL043W
YLR197W	YHR052W
YLR197W	YER082C
YLR197W	YGL078C
YLR197W	YHR196W
YLR197W	YPR137W
YLR197W	YOR310C
YLR197W	YKL014C
YLR197W	YER036C
YLR197W	YGR159C
YLR197W	YDL014W
YLR197W	YEL026W
YLR197W	YOR078W
YLR197W	YCL059C
YLR197W	YJL109C
YLR197W	YCR057C
YLR197W	YNL124W
YOR043W	YBL026W
YOR043W	YLL010C
YOR043W	YMR037C
YMR111C	YDR510W
YMR111C	YPL240C
YMR111C	YMR111C
YFR027W	YMR078C
YFR027W	YBR087W
YFR027W	YER173W
YFR027W	YPR119W
YFR027W	YNL290W
YFR027W	YDR507C
YFR027W	YBR160W
YFR027W	YMR076C
YFR027W	YFR027W
YFR027W	YJL019W
YFR027W	YOR217W
YFR027W	YPL008W
YFR027W	YOL094C
YFR027W	YDL003W
YFR027W	YIL026C
YFR027W	YJR068W
YBR128C	YPL120W
YBR128C	YLR240W
YBR128C	YLR360W
YBR128C	YBR097W
YBR128C	YPL240C
YIL034C	YKL007W
YIL034C	YGR080W
YOR011W	YPL240C
YOR011W	YIR009W
Q0160	YBL075C
YJL204C	YER031C
YJL204C	YGL210W
YJL204C	YOL133W
